Código EDT,Nombre,Fase,Responsable (Rol),Duración (días),Horas,Tarifa (S/./h),Costo RRHH (S/.),Material/Servicio vinculado,Costo Material (S/.),Costo Total (S/.),Origen del dato
1.1.1,Redactar y firmar el Acta de Constitución,1.1 Gestión,Líder del Proyecto,4,32,30.00,960.00,,0.00,960.00,EDT Cap. 6
1.1.2,Elaborar Plan de Gestión del Alcance y Cronograma,1.1 Gestión,Líder del Proyecto,3,24,30.00,720.00,,0.00,720.00,EDT Cap. 6
1.1.3,Emitir informes de avance semanales (recurrente),1.1 Gestión,Líder del Proyecto,15,120,30.00,3600.00,,0.00,3600.00,EDT Cap. 6 — 0.5 d/sem × 30 sem
1.1.4,Mantener el Registro de Control de Cambios (recurrente),1.1 Gestión,Líder del Proyecto,7.5,60,30.00,1800.00,,0.00,1800.00,EDT Cap. 6 — 0.25 d/sem × 30 sem
1.2.1,Realizar observación directa del flujo actual,1.2 Diagnóstico,Analista de Sistemas,2,16,25.00,400.00,Pasajes visita campo (2 pers.),30.00,430.00,Lista Act. Cap. 7
1.2.2,Ejecutar entrevistas con interesados clave,1.2 Diagnóstico,Analista de Sistemas,2,16,25.00,400.00,,0.00,400.00,Lista Act. Cap. 7
1.2.3,Documentar el flujo AS-IS y validar con Gerencia,1.2 Diagnóstico,Analista de Sistemas,1,8,25.00,200.00,,0.00,200.00,Lista Act. Cap. 7
1.2.4,Ejecutar auditoría de infraestructura tecnológica,1.2 Diagnóstico,Analista de Infraestructura,2,16,27.00,432.00,Pasajes visita campo (2 pers.),30.00,462.00,Lista Act. Cap. 7
1.2.5,Redactar fichas de requisitos REQ-01 a REQ-10,1.2 Diagnóstico,Analista de Sistemas,4,32,25.00,800.00,,0.00,800.00,Lista Act. Cap. 7
1.2.6,Validar y obtener firma de fichas de requisitos,1.2 Diagnóstico,Líder del Proyecto,1,8,30.00,240.00,,0.00,240.00,Lista Act. Cap. 7
1.2.7,Elaborar la Matriz de Trazabilidad de Requisitos,1.2 Diagnóstico,Analista de Sistemas,2,16,25.00,400.00,,0.00,400.00,Lista Act. Cap. 7
1.2.8,Aprobar la Matriz de Trazabilidad con la Gerencia,1.2 Diagnóstico,Líder del Proyecto,1,8,30.00,240.00,,0.00,240.00,Lista Act. Cap. 7
1.3.1.1,Diseñar el modelo de datos,1.3 Fase 1,Analista de Sistemas,3,24,25.00,600.00,,0.00,600.00,EDT Cap. 6
1.3.1.2,Validar compatibilidad del modelo con Odoo,1.3 Fase 1,Analista de Sistemas,1,8,25.00,200.00,,0.00,200.00,Lista Act. Cap. 7
1.3.2.1,Mapear zonas muertas de Wi-Fi en el taller,1.3 Fase 1,Analista de Infraestructura,1,8,27.00,216.00,Pasajes visita campo (2 pers.),30.00,246.00,EDT Cap. 6
1.3.2.2,Evaluar y seleccionar solución de red,1.3 Fase 1,Analista de Infraestructura,1,8,27.00,216.00,,0.00,216.00,Lista Act. Cap. 7
1.3.2.3,Implementar la solución de red seleccionada,1.3 Fase 1,Analista de Infraestructura,2,16,27.00,432.00,Cable red / repetidor Wi-Fi,120.00,552.00,EDT Cap. 6
1.3.2.4,Verificar acceso por datos móviles 4G/5G,1.3 Fase 1,Analista de Infraestructura,1,8,27.00,216.00,,0.00,216.00,EDT Cap. 6
1.3.3.1,Configurar y desplegar base de datos centralizada,1.3 Fase 1,Analista de Sistemas,3,24,25.00,600.00,,0.00,600.00,EDT Cap. 6
